"nomeempreendedor","niveldeemergencia"
"MARCOS JOSE MARTINS FERNANDES","Sem emergência"
"Diego Sérgio de oliveira Almeida","Sem emergência"
"COOPROBAND - COOPERATIVA DE PRODUTORES MINERAIS DE NOVA BANDEIRANTES","Sem emergência"
"MINERACAO FL JOTAS LTDA","Sem emergência"
"MINERACAO FL JOTAS LTDA","Sem emergência"
"Empresa de Mineração e Artefatos de Cimento Jbs Ltda Epp","Sem emergência"
"EXTRACAO E COMERCIO DE AREIA QUEVEDO & SILVA LTDA","Sem emergência"
"MINERADORA AREIA NOVA LTDA","Sem emergência"
"SERABI MINERACAO S.A.","Sem emergência"
"JEFFERSON LUIZ DE ARRUDA E SILVA","Sem emergência"
"FILADELFO DOS REIS DIAS","Sem emergência"
"Valdinei Mauro de Souza","Sem emergência"
"william monteiro lipinisky","Sem emergência"
"CELESTA MINERACAO S.A","Sem emergência"
"MORRO DOURADO LTDA","Sem emergência"
"MINERACAO USIMINAS S.A.","Sem emergência"
"CLAUDIO HENRIQUE TEODORO DE ALMEIDA","Nível de Alerta"
"MAGNESITA MINERACAO S.A.","Sem emergência"
"MAGNESITA MINERACAO S.A.","Emergência Nivel 1"
"MAGNESITA MINERACAO S.A.","Sem emergência"
"MAGNESITA MINERACAO S.A.","Emergência Nivel 3"
"MINERACAO ONCA PUMA S.A.","Sem emergência"
"COOPERATIVA DE EXTRACAO MINERAL DE NOSSA SENHORA DO LIVRAMENTO","Sem emergência"
"VALGNO DE MATOS TINOCO","Sem emergência"
"Cleomenes Santos Silva","Sem emergência"
"VALDEMIR CARLOS DE SOUZA","Sem emergência"
"FRANCISCO XAVIER DA SILVA","Sem emergência"
"FILADELFO DOS REIS DIAS","Sem emergência"
"Rodrigo Moraes Fiacadori","Sem emergência"
"COOPERATIVA DE EXTRACAO MINERAL DE NOSSA SENHORA DO LIVRAMENTO","Sem emergência"
"CATARINO PEDROSO DE BARROS","Sem emergência"
"SAMACA FERROS LTDA","Sem emergência"
"COOPERATIVA DE EXTRACAO MINERAL DE MATO GROSSO","Sem emergência"
"COOPERATIVA DE EXTRACAO MINERAL DE MATO GROSSO","Nível de Alerta"
"DELIA GODOY RAZUK","Sem emergência"
"EUROMAQUINAS MINERACAO LTDA","Sem emergência"
"MINERACAO ABDALA LTDA","Sem emergência"
"SERRINHA GOLDMINE LTDA","Sem emergência"
"ITAMINAS COMERCIO DE MINERIOS SA","Sem emergência"
"EVALDO TESCHIMA LEITE","Sem emergência"
"SAFM MINERACAO LTDA","Sem emergência"
"ANGLOGOLD ASHANTI CORREGO DO SITIO MINERACAO S.A.","Sem emergência"
"MINERACAO ONCA PUMA S.A.","Sem emergência"
"NORMA ARGES OLIVA","Sem emergência"
"MINERBRAS MINERACAO LTDA","Sem emergência"
"AVG EMPREENDIMENTOS MINERARIOS S.A.","Sem emergência"
"MINERACAO JUNDU LTDA","Sem emergência"
"HELLEN ELIZABETH CORREA MARTINS","Sem emergência"
"CENTRO OESTE GOLD MINE S.A.","Sem emergência"
"MINERACAO ONCA PUMA S.A.","Sem emergência"
"MINERACAO RIO DO NORTE SA","Sem emergência"
"MINERACAO RIO DO NORTE SA","Sem emergência"
"MINERACAO RIO DO NORTE SA","Sem emergência"
"GF GOLD MINERACAO EIRELI","Sem emergência"
"INDUSTRIAS NUCLEARES DO BRASIL S.A - INB","Sem emergência"
"INDUSTRIAS NUCLEARES DO BRASIL S.A - INB","Emergência Nivel 1"
"MOSAIC FERTILIZANTES P&K LTDA.","Sem emergência"
"MOSAIC FERTILIZANTES P&K LTDA.","Sem emergência"
