"nome","nomemina","nomeempreendedor","uf"
"BARRAGEM DE CONTENÇÃO DE ÁGUAS PLUVIAIS-DIQUE D-03","BARRAGEM USINA SANTALUZ BENEFICIAMENTO - BII","MAGNESITA MINERACAO S.A.","BA"
"Barnabé 1","BARRAGEM USINA SANTALUZ BENEFICIAMENTO - BIII","MAGNESITA MINERACAO S.A.","BA"
"Cianita 1","BARRAGEM USINA SANTALUZ BENEFICIAMENTO BI","MAGNESITA MINERACAO S.A.","BA"
"Forquilha I","VALE DOURADO","Marcir Norberto Weber","MT"
"Forquilha II","Dique 3","MINERACAO CARAIBA S/A","BA"
"Dique 06","Pond de Emergência","ANGLO AMERICAN MINERIO DE FERRO BRASIL S/A","RJ"
"Dique Provisorio 01","Bacia de Decantação 1","MINERACAO MATHEUS LEME LTDA","MG"
"Dique Provisorio 02","Bacia de Decantação 2","MINERACAO MATHEUS LEME LTDA","MG"
"Forquilha III","Bacia de Decantação 3","MINERACAO MATHEUS LEME LTDA","MG"
"Barragem MSG","BARRAGEM USINA BENEFICIAMENTO ESPONGILITO - IVA","MAGNESITA MINERACAO S.A.","MG"
"Bacia de Decantação 1","BARRAGEM USINA BENEFICIAMENTO ESPONGILITO - IVB","MAGNESITA MINERACAO S.A.","MG"
"Bacia de Decantação 2","BARRAGEM  USINA BENEFICIAMENTO L7 - IIB","MAGNESITA MINERACAO S.A.","MG"
"Bacia de Decantação 3","BARRAGEM USINA BENEFICIAMENTO L7 - IIA","MAGNESITA MINERACAO S.A.","MG"
"Forquilha IV","BARRAGEM USINA BENEFICIAMENTO L8 - IIIA","MAGNESITA MINERACAO S.A.","MG"
"Forquilha V","BARRAGEM USINA BENEFICIAMENTO L8 - IIIB","MAGNESITA MINERACAO S.A.","MG"
"TANQUE DE DECANTAÇÃO","PORTO-4A","ITAQUAREIA INDUSTRIA EXTRATIVA DE MINERIOS LTDA","SP"
"Gambá","PORTO-4B","ITAQUAREIA INDUSTRIA EXTRATIVA DE MINERIOS LTDA","SP"
"Grupo","Barragem de Rejeitos de Irecê","COMPANHIA BAIANA DE PESQUISA MINERAL CBPM","BA"
"Maravilhas I","TANQUE DE DECANTAÇÃO","PEDREIRAS BAHIA LTDA","BA"
"Maravilhas II","Barragem 101","Indústria Carbonífera Rio Deserto Ltda","SC"
"Marés I","Quevedo 1","EXTRACAO E COMERCIO DE AREIA QUEVEDO & SILVA LTDA","SP"
"Marés II","engebrita","Pedreira Engebrita Ltda","SP"
"Prata","LAGOA FACEL 4","CADAM S.A.","PA"
"Alcindo Vieira","LAGOA FACEL 3","CADAM S.A.","PA"
"Borrachudo","Barragem do Muriacá","CADAM S.A.","AP"
"Borrachudo II","Barragem do Felipe","CADAM S.A.","AP"
